province_code,province,area_type,year,period,value,date,metric
1100,Aceh,Tidak ada,2024,Januari,0.42,2024-01-01,inflation_mom
1100,Aceh,Tidak ada,2024,Februari,0.71,2024-02-01,inflation_mom
1100,Aceh,Tidak ada,2024,Maret,0.48,2024-03-01,inflation_mom
1100,Aceh,Tidak ada,2024,April,0.05,2024-04-01,inflation_mom
1100,Aceh,Tidak ada,2024,Mei,0.15,2024-05-01,inflation_mom
1100,Aceh,Tidak ada,2024,Juni,0.03,2024-06-01,inflation_mom
1100,Aceh,Tidak ada,2024,Juli,-0.11,2024-07-01,inflation_mom
1100,Aceh,Tidak ada,2024,Agustus,0.1,2024-08-01,inflation_mom
1100,Aceh,Tidak ada,2024,September,-0.52,2024-09-01,inflation_mom
1100,Aceh,Tidak ada,2024,Oktober,-0.08,2024-10-01,inflation_mom
1100,Aceh,Tidak ada,2024,November,0.37,2024-11-01,inflation_mom
1100,Aceh,Tidak ada,2024,Desember,0.57,2024-12-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Januari,0.4,2024-01-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Februari,0.41,2024-02-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Maret,0.72,2024-03-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,April,-0.04,2024-04-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Mei,0.48,2024-05-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Juni,-0.33,2024-06-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Juli,-0.82,2024-07-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Agustus,-0.14,2024-08-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,September,-0.21,2024-09-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Oktober,0.13,2024-10-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,November,0.54,2024-11-01,inflation_mom
1200,Sumatera Utara,Tidak ada,2024,Desember,0.98,2024-12-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Januari,-0.32,2024-01-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Februari,1.17,2024-02-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Maret,0.64,2024-03-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,April,-0.3,2024-04-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Mei,0.51,2024-05-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Juni,0.14,2024-06-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Juli,-1.07,2024-07-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Agustus,-0.16,2024-08-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,September,-0.44,2024-09-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Oktober,0.11,2024-10-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,November,0.27,2024-11-01,inflation_mom
1300,Sumatera Barat,Tidak ada,2024,Desember,0.35,2024-12-01,inflation_mom
1400,Riau,Tidak ada,2024,Januari,0.11,2024-01-01,inflation_mom
1400,Riau,Tidak ada,2024,Februari,0.59,2024-02-01,inflation_mom
1400,Riau,Tidak ada,2024,Maret,0.72,2024-03-01,inflation_mom
1400,Riau,Tidak ada,2024,April,0.05,2024-04-01,inflation_mom
1400,Riau,Tidak ada,2024,Mei,0.3,2024-05-01,inflation_mom
1400,Riau,Tidak ada,2024,Juni,-0.22,2024-06-01,inflation_mom
1400,Riau,Tidak ada,2024,Juli,-0.8,2024-07-01,inflation_mom
1400,Riau,Tidak ada,2024,Agustus,-0.27,2024-08-01,inflation_mom
1400,Riau,Tidak ada,2024,September,-0.33,2024-09-01,inflation_mom
1400,Riau,Tidak ada,2024,Oktober,0.06,2024-10-01,inflation_mom
1400,Riau,Tidak ada,2024,November,0.43,2024-11-01,inflation_mom
1400,Riau,Tidak ada,2024,Desember,0.62,2024-12-01,inflation_mom
1500,Jambi,Tidak ada,2024,Januari,0.83,2024-01-01,inflation_mom
1500,Jambi,Tidak ada,2024,Februari,0.13,2024-02-01,inflation_mom
1500,Jambi,Tidak ada,2024,Maret,0.54,2024-03-01,inflation_mom
1500,Jambi,Tidak ada,2024,April,0.18,2024-04-01,inflation_mom
1500,Jambi,Tidak ada,2024,Mei,0.19,2024-05-01,inflation_mom
1500,Jambi,Tidak ada,2024,Juni,-0.13,2024-06-01,inflation_mom
1500,Jambi,Tidak ada,2024,Juli,-0.82,2024-07-01,inflation_mom
1500,Jambi,Tidak ada,2024,Agustus,-0.01,2024-08-01,inflation_mom
1500,Jambi,Tidak ada,2024,September,-0.17,2024-09-01,inflation_mom
1500,Jambi,Tidak ada,2024,Oktober,0.03,2024-10-01,inflation_mom
1500,Jambi,Tidak ada,2024,November,0.21,2024-11-01,inflation_mom
1500,Jambi,Tidak ada,2024,Desember,0.46,2024-12-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Januari,-0.08,2024-01-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Februari,0.01,2024-02-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Maret,0.25,2024-03-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,April,0.43,2024-04-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Mei,0.06,2024-05-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Juni,-0.03,2024-06-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Juli,-0.29,2024-07-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Agustus,-0.19,2024-08-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,September,-0.12,2024-09-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Oktober,0.09,2024-10-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,November,0.58,2024-11-01,inflation_mom
1600,Sumatera Selatan,Tidak ada,2024,Desember,0.5,2024-12-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Januari,0.15,2024-01-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Februari,0.79,2024-02-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Maret,0.22,2024-03-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,April,0.13,2024-04-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Mei,0.3,2024-05-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Juni,-0.04,2024-06-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Juli,-0.7,2024-07-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Agustus,-0.18,2024-08-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,September,-0.28,2024-09-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Oktober,-0.09,2024-10-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,November,0.2,2024-11-01,inflation_mom
1700,Bengkulu,Tidak ada,2024,Desember,0.34,2024-12-01,inflation_mom
