province,date,year,period,inflation_mom,hhi_sectoral,export_intensity,migas_share,resilience,d_log_brent,d_log_usd_idr,d_log_wti,d_log_coal,d_log_palm_oil,d_log_nickel,d_log_tin,migas_share_x_d_log_brent,export_intensity_x_d_log_usd_idr,resilience_x_d_log_usd_idr,inflation_distress,distress_threshold
Aceh,2024-01-01,2024,Januari,0.42,0.2877003052378392,1.4336126640659357,0.0725618617172273,0.5799411319595135,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0017368294065634017,0.012574893243926981,0.005086937361079032,1,0.39
Bali,2024-01-01,2024,Januari,-0.09,0.2768170256993871,1.0603687314474053,0.0004174356322392,0.3500221079855414,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,9.991674197194676e-06,0.009300994565248995,0.0030702090957045484,0,0.39
Banten,2024-01-01,2024,Januari,-0.04,0.2871811184362252,6.999209870932707,0.0050096419182349,0.2467611956004288,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.00011991000773726479,0.0613933729276618,0.002164458901066503,0,0.39
Bengkulu,2024-01-01,2024,Januari,0.15,0.2851289905273774,0.9348015629292702,0.0,0.0607593954602458,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.008199585671036607,0.0005329493318726656,0,0.39
Di Yogyakarta,2024-01-01,2024,Januari,-0.02,0.2711092208189328,1.412695687677658,0.0,-0.4028690310357976,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.012391420572639086,-0.00353375439792185,0,0.39
Dki Jakarta,2024-01-01,2024,Januari,-0.19,0.2749148522676608,1.8711550438395703,0.0031066958241235,0.0372724854279303,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,7.436138677936334e-05,0.016412783947084272,0.0003269345597595049,0,0.39
Gorontalo,2024-01-01,2024,Januari,-0.91,0.2968693360150885,0.5505314413244441,0.0,-0.8049222568187376,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.0048289710851506075,-0.007060352982966446,0,0.39
Jambi,2024-01-01,2024,Januari,0.83,0.2929257487892158,3.62140192553813,0.5822720180213659,0.915671589026756,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.013937172222228464,0.03176502534362318,0.008031787641894642,1,0.39
Jawa Barat,2024-01-01,2024,Januari,0.15,0.3039456533837742,6.708955010542176,0.0089238495036349,-0.2777914255756434,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.00021359987010889447,0.05884741056667781,-0.002436639692331388,0,0.39
Jawa Tengah,2024-01-01,2024,Januari,-0.08,0.2928908329960576,3.1425969384153705,0.0365844340869901,-0.2017794502973293,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0008756793092269754,0.027565200838270167,-0.0017699027846970015,0,0.39
Jawa Timur,2024-01-01,2024,Januari,-0.1,0.290326201601314,4.100729782763403,0.0361820197907202,-0.1252121924725867,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0008660471833850725,0.03596943618940437,-0.0010982952317923989,0,0.39
Kalimantan Barat,2024-01-01,2024,Januari,0.37,0.2805618957155459,3.51850814928718,0.0,0.5709102582818649,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.03086249547328109,0.0050077233060959086,0,0.39
Kalimantan Selatan,2024-01-01,2024,Januari,0.55,0.2849205742894098,20.326680662445483,0.0,0.622581527067548,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.17829490889729677,0.005460956389930007,1,0.39
Kalimantan Tengah,2024-01-01,2024,Januari,0.2,0.2808255277609784,9.026786567622928,0.0,0.6440558570447644,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.07917820501225128,0.0056493178725793665,0,0.39
Kalimantan Timur,2024-01-01,2024,Januari,0.25,0.3026603544206015,14.834025788688049,0.0984505443582406,0.6334093153656185,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.002356496877104944,0.13011624084107049,0.005555932031070002,0,0.39
Kalimantan Utara,2024-01-01,2024,Januari,0.05,0.2884629917212736,5.347448348148918,0.0115932581362568,0.9792711604450528,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0002774944188642661,0.046904993092537026,0.008589649497464725,0,0.39
Kepulauan Bangka Belitung,2024-01-01,2024,Januari,0.13,0.282707060208467,7.912142372522675,0.0350617597316844,1.5862256078762176,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.000839232813308486,0.06940113474098591,0.013913533396988196,0,0.39
Kepulauan Riau,2024-01-01,2024,Januari,0.51,0.3079216048858691,27.41700072159824,0.1286690481523548,0.5600431078044311,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.003079802271562659,0.24048745228363172,0.004912402400704455,1,0.39
Lampung,2024-01-01,2024,Januari,-0.19,0.2867647016264973,5.772495453782701,0.0186421136264518,0.1885546917091267,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.00044621472465928625,0.050633281849296476,0.001653902185935755,0,0.39
Maluku,2024-01-01,2024,Januari,0.19,0.285371153682206,0.75840692931055,0.2450981114364069,0.0649297258549906,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.00586663017405518,0.006652345093329906,0.0005695292678765009,0,0.39
Maluku Utara,2024-01-01,2024,Januari,-0.02,0.2976433117464032,57.12837341706494,0.0,0.3361744659162717,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.5010999239371586,0.0029487448919723403,0,0.39
Nusa Tenggara Barat,2024-01-01,2024,Januari,0.04,0.2823304632703688,7.032903433302264,0.0,-0.6108096224550937,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0,0.06168891506426872,-0.005357699459038041,0,0.39
Nusa Tenggara Timur,2024-01-01,2024,Januari,0.97,0.2863218203108601,0.308481673267326,0.0295689558095837,-0.5003126522297743,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.0007077579151923269,0.0027058383385389633,-0.0043884783861577415,1,0.39
Papua,2024-01-01,2024,Januari,0.01,0.2795603519505868,0.5213063789312734,0.0001462455093697,-1.640240509783757,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,3.5005097063383935e-06,0.004572624270663815,-0.014387323592969094,0,0.39
Papua Barat,2024-01-01,2024,Januari,0.63,0.3094613799023457,23.802175806861573,0.991902020524656,-1.2471076887241264,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.02374201208329619,0.20878011700564872,-0.0109389700875753,1,0.39
Papua Barat Daya,2024-01-01,2024,Januari,0.13,0.2793991130813336,0.6842736438533831,0.550459692906792,-1.016318152151856,0.023935844057196398,0.008771471931799724,0.02380437177949979,-0.058907087473463626,0.03786005801226011,-0.020388045065873328,0.02010445962727303,0.013175717369189191,0.00600208706073027,-0.008914606145378567,0,0.39
