province_code,province,area_type,year,period,value
1100,ACEH,"A Pertanian, Kehutanan dan Perikanan",2022,Februari ,908106
1100,ACEH,"A Pertanian, Kehutanan dan Perikanan",2022,Agustus,969992
1100,ACEH,"A Pertanian, Kehutanan dan Perikanan",2023,Februari ,918008
1100,ACEH,"A Pertanian, Kehutanan dan Perikanan",2023,Agustus,946649
1100,ACEH,B Pertambangan dan Penggalian,2022,Februari ,11594
1100,ACEH,B Pertambangan dan Penggalian,2022,Agustus,21670
1100,ACEH,B Pertambangan dan Penggalian,2023,Februari ,9039
1100,ACEH,B Pertambangan dan Penggalian,2023,Agustus,23448
1100,ACEH,C Industri Pengolahan,2022,Februari ,223270
1100,ACEH,C Industri Pengolahan,2022,Agustus,175231
1100,ACEH,C Industri Pengolahan,2023,Februari ,245839
1100,ACEH,C Industri Pengolahan,2023,Agustus,176000
1100,ACEH,D Pengadaan Listrik dan Gas,2022,Februari ,7687
1100,ACEH,D Pengadaan Listrik dan Gas,2022,Agustus,5769
1100,ACEH,D Pengadaan Listrik dan Gas,2023,Februari ,13217
1100,ACEH,D Pengadaan Listrik dan Gas,2023,Agustus,4998
1100,ACEH,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Februari ,728
1100,ACEH,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Agustus,3586
1100,ACEH,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Februari ,4887
1100,ACEH,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Agustus,5435
1100,ACEH,F Konstruksi,2022,Februari ,155966
1100,ACEH,F Konstruksi,2022,Agustus,158823
1100,ACEH,F Konstruksi,2023,Februari ,160039
1100,ACEH,F Konstruksi,2023,Agustus,178702
1100,ACEH,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Februari ,382555
1100,ACEH,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Agustus,320127
1100,ACEH,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Februari ,389339
1100,ACEH,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Agustus,358557
1100,ACEH,H Transportasi dan Pergudangan,2022,Februari ,90836
1100,ACEH,H Transportasi dan Pergudangan,2022,Agustus,75172
1100,ACEH,H Transportasi dan Pergudangan,2023,Februari ,85500
1100,ACEH,H Transportasi dan Pergudangan,2023,Agustus,84418
1100,ACEH,I Penyediaan Akomodasi dan Makan Minum,2022,Februari ,108212
1100,ACEH,I Penyediaan Akomodasi dan Makan Minum,2022,Agustus,118304
1100,ACEH,I Penyediaan Akomodasi dan Makan Minum,2023,Februari ,122462
1100,ACEH,I Penyediaan Akomodasi dan Makan Minum,2023,Agustus,136548
1100,ACEH,J Informasi dan Komunikasi,2022,Februari ,19834
1100,ACEH,J Informasi dan Komunikasi,2022,Agustus,9444
1100,ACEH,J Informasi dan Komunikasi,2023,Februari ,15330
1100,ACEH,J Informasi dan Komunikasi,2023,Agustus,9379
1100,ACEH,K Jasa Keuangan dan Asuransi,2022,Februari ,6923
1100,ACEH,K Jasa Keuangan dan Asuransi,2022,Agustus,10724
1100,ACEH,K Jasa Keuangan dan Asuransi,2023,Februari ,13774
1100,ACEH,K Jasa Keuangan dan Asuransi,2023,Agustus,12515
1100,ACEH,L Real Estate,2022,Februari ,784
1100,ACEH,L Real Estate,2022,Agustus,870
1100,ACEH,L Real Estate,2023,Februari ,1077
1100,ACEH,L Real Estate,2023,Agustus,1495
1100,ACEH,"M,N Jasa Perusahaan",2022,Februari ,17758
1100,ACEH,"M,N Jasa Perusahaan",2022,Agustus,26719
1100,ACEH,"M,N Jasa Perusahaan",2023,Februari ,20124
1100,ACEH,"M,N Jasa Perusahaan",2023,Agustus,24597
1100,ACEH,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Februari ,127467
1100,ACEH,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Agustus,159044
1100,ACEH,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Februari ,135497
1100,ACEH,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Agustus,160113
1100,ACEH,P Jasa Pendidikan,2022,Februari ,168755
1100,ACEH,P Jasa Pendidikan,2022,Agustus,176663
1100,ACEH,P Jasa Pendidikan,2023,Februari ,145846
1100,ACEH,P Jasa Pendidikan,2023,Agustus,174250
1100,ACEH,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Februari ,61336
1100,ACEH,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Agustus,66276
1100,ACEH,Q Jasa Kesehatan dan Kegiatan Sosial,2023,Februari ,71266
1100,ACEH,Q Jasa Kesehatan dan Kegiatan Sosial,2023,Agustus,63201
1100,ACEH,"R,S,T,U Jasa Lainnya",2022,Februari ,72855
1100,ACEH,"R,S,T,U Jasa Lainnya",2022,Agustus,96580
1100,ACEH,"R,S,T,U Jasa Lainnya",2023,Februari ,98712
1100,ACEH,"R,S,T,U Jasa Lainnya",2023,Agustus,87040
1100,ACEH,Total,2022,Februari ,2364666
1100,ACEH,Total,2022,Agustus,2394994
1100,ACEH,Total,2023,Februari ,2449956
1100,ACEH,Total,2023,Agustus,2447345
1200,SUMATERA UTARA,"A Pertanian, Kehutanan dan Perikanan",2022,Februari ,2506451
1200,SUMATERA UTARA,"A Pertanian, Kehutanan dan Perikanan",2022,Agustus,2493755
1200,SUMATERA UTARA,"A Pertanian, Kehutanan dan Perikanan",2023,Februari ,2193959
1200,SUMATERA UTARA,"A Pertanian, Kehutanan dan Perikanan",2023,Agustus,2559037
1200,SUMATERA UTARA,B Pertambangan dan Penggalian,2022,Februari ,29761
1200,SUMATERA UTARA,B Pertambangan dan Penggalian,2022,Agustus,32908
1200,SUMATERA UTARA,B Pertambangan dan Penggalian,2023,Februari ,35882
1200,SUMATERA UTARA,B Pertambangan dan Penggalian,2023,Agustus,51392
1200,SUMATERA UTARA,C Industri Pengolahan,2022,Februari ,756664
1200,SUMATERA UTARA,C Industri Pengolahan,2022,Agustus,720482
1200,SUMATERA UTARA,C Industri Pengolahan,2023,Februari ,772581
1200,SUMATERA UTARA,C Industri Pengolahan,2023,Agustus,677302
1200,SUMATERA UTARA,D Pengadaan Listrik dan Gas,2022,Februari ,10071
1200,SUMATERA UTARA,D Pengadaan Listrik dan Gas,2022,Agustus,16080
1200,SUMATERA UTARA,D Pengadaan Listrik dan Gas,2023,Februari ,38220
1200,SUMATERA UTARA,D Pengadaan Listrik dan Gas,2023,Agustus,17980
1200,SUMATERA UTARA,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Februari ,24804
1200,SUMATERA UTARA,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Agustus,18074
1200,SUMATERA UTARA,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Februari ,29326
1200,SUMATERA UTARA,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Agustus,17150
1200,SUMATERA UTARA,F Konstruksi,2022,Februari ,349469
1200,SUMATERA UTARA,F Konstruksi,2022,Agustus,435285
1200,SUMATERA UTARA,F Konstruksi,2023,Februari ,383687
1200,SUMATERA UTARA,F Konstruksi,2023,Agustus,447205
1200,SUMATERA UTARA,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Februari ,1330463
1200,SUMATERA UTARA,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Agustus,1304741
1200,SUMATERA UTARA,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Februari ,1472022
1200,SUMATERA UTARA,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Agustus,1442126
1200,SUMATERA UTARA,H Transportasi dan Pergudangan,2022,Februari ,292810
1200,SUMATERA UTARA,H Transportasi dan Pergudangan,2022,Agustus,316982
1200,SUMATERA UTARA,H Transportasi dan Pergudangan,2023,Februari ,384166
1200,SUMATERA UTARA,H Transportasi dan Pergudangan,2023,Agustus,361377
1200,SUMATERA UTARA,I Penyediaan Akomodasi dan Makan Minum,2022,Februari ,582022
1200,SUMATERA UTARA,I Penyediaan Akomodasi dan Makan Minum,2022,Agustus,542897
1200,SUMATERA UTARA,I Penyediaan Akomodasi dan Makan Minum,2023,Februari ,608706
1200,SUMATERA UTARA,I Penyediaan Akomodasi dan Makan Minum,2023,Agustus,605080
1200,SUMATERA UTARA,J Informasi dan Komunikasi,2022,Februari ,63460
1200,SUMATERA UTARA,J Informasi dan Komunikasi,2022,Agustus,42634
1200,SUMATERA UTARA,J Informasi dan Komunikasi,2023,Februari ,69601
1200,SUMATERA UTARA,J Informasi dan Komunikasi,2023,Agustus,34228
1200,SUMATERA UTARA,K Jasa Keuangan dan Asuransi,2022,Februari ,59376
1200,SUMATERA UTARA,K Jasa Keuangan dan Asuransi,2022,Agustus,57805
1200,SUMATERA UTARA,K Jasa Keuangan dan Asuransi,2023,Februari ,67461
1200,SUMATERA UTARA,K Jasa Keuangan dan Asuransi,2023,Agustus,62854
1200,SUMATERA UTARA,L Real Estate,2022,Februari ,6182
1200,SUMATERA UTARA,L Real Estate,2022,Agustus,14570
1200,SUMATERA UTARA,L Real Estate,2023,Februari ,8927
1200,SUMATERA UTARA,L Real Estate,2023,Agustus,15176
1200,SUMATERA UTARA,"M,N Jasa Perusahaan",2022,Februari ,73943
1200,SUMATERA UTARA,"M,N Jasa Perusahaan",2022,Agustus,90623
1200,SUMATERA UTARA,"M,N Jasa Perusahaan",2023,Februari ,104291
1200,SUMATERA UTARA,"M,N Jasa Perusahaan",2023,Agustus,106069
1200,SUMATERA UTARA,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Februari ,289405
1200,SUMATERA UTARA,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Agustus,312989
1200,SUMATERA UTARA,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Februari ,270119
1200,SUMATERA UTARA,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Agustus,285562
1200,SUMATERA UTARA,P Jasa Pendidikan,2022,Februari ,412070
1200,SUMATERA UTARA,P Jasa Pendidikan,2022,Agustus,366511
1200,SUMATERA UTARA,P Jasa Pendidikan,2023,Februari ,417802
1200,SUMATERA UTARA,P Jasa Pendidikan,2023,Agustus,388171
1200,SUMATERA UTARA,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Februari ,167881
1200,SUMATERA UTARA,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Agustus,107116
