province_code,province,area_type,year,period,value
1100,ACEH,1. Berusaha Sendiri,2022,Februari ,533290
1100,ACEH,1. Berusaha Sendiri,2022,Agustus,604272
1100,ACEH,1. Berusaha Sendiri,2023,Februari ,581040
1100,ACEH,1. Berusaha Sendiri,2023,Agustus,626676
1100,ACEH,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Februari ,379162
1100,ACEH,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Agustus,318339
1100,ACEH,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Februari ,377395
1100,ACEH,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Agustus,323177
1100,ACEH,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2022,Februari ,97583
1100,ACEH,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2022,Agustus,80333
1100,ACEH,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2023,Februari ,99320
1100,ACEH,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2023,Agustus,103392
1100,ACEH,4. Buruh / Karyawan / Pegawai,2022,Februari ,827338
1100,ACEH,4. Buruh / Karyawan / Pegawai,2022,Agustus,842954
1100,ACEH,4. Buruh / Karyawan / Pegawai,2023,Februari ,745827
1100,ACEH,4. Buruh / Karyawan / Pegawai,2023,Agustus,879044
1100,ACEH,5. Pekerja Bebas di Pertanian,2022,Februari ,110166
1100,ACEH,5. Pekerja Bebas di Pertanian,2022,Agustus,146394
1100,ACEH,5. Pekerja Bebas di Pertanian,2023,Februari ,108083
1100,ACEH,5. Pekerja Bebas di Pertanian,2023,Agustus,117333
1100,ACEH,6. Pekerja Bebas di Non Pertanian,2022,Februari ,102243
1100,ACEH,6. Pekerja Bebas di Non Pertanian,2022,Agustus,102538
1100,ACEH,6. Pekerja Bebas di Non Pertanian,2023,Februari ,136610
1100,ACEH,6. Pekerja Bebas di Non Pertanian,2023,Agustus,114334
1100,ACEH,7. Pekerja Keluarga Tak Dibayar,2022,Februari ,314884
1100,ACEH,7. Pekerja Keluarga Tak Dibayar,2022,Agustus,300164
1100,ACEH,7. Pekerja Keluarga Tak Dibayar,2023,Februari ,401681
1100,ACEH,7. Pekerja Keluarga Tak Dibayar,2023,Agustus,283389
1100,ACEH,Total,2022,Februari ,2364666
1100,ACEH,Total,2022,Agustus,2394994
1100,ACEH,Total,2023,Februari ,2449956
1100,ACEH,Total,2023,Agustus,2447345
1200,SUMATERA UTARA,1. Berusaha Sendiri,2022,Februari ,1350775
1200,SUMATERA UTARA,1. Berusaha Sendiri,2022,Agustus,1442845
1200,SUMATERA UTARA,1. Berusaha Sendiri,2023,Februari ,1370275
1200,SUMATERA UTARA,1. Berusaha Sendiri,2023,Agustus,1678211
1200,SUMATERA UTARA,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Februari ,1240925
1200,SUMATERA UTARA,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Agustus,1033192
1200,SUMATERA UTARA,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Februari ,1136962
1200,SUMATERA UTARA,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Agustus,1035761
1200,SUMATERA UTARA,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2022,Februari ,232436
1200,SUMATERA UTARA,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2022,Agustus,264083
1200,SUMATERA UTARA,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2023,Februari ,277912
1200,SUMATERA UTARA,3. Berusaha Dibantu Buruh Tetap dan Dibayar,2023,Agustus,287853
1200,SUMATERA UTARA,4. Buruh / Karyawan / Pegawai,2022,Februari ,2629442
1200,SUMATERA UTARA,4. Buruh / Karyawan / Pegawai,2022,Agustus,2681903
1200,SUMATERA UTARA,4. Buruh / Karyawan / Pegawai,2023,Februari ,2884485
1200,SUMATERA UTARA,4. Buruh / Karyawan / Pegawai,2023,Agustus,2843817
1200,SUMATERA UTARA,5. Pekerja Bebas di Pertanian,2022,Februari ,291772
1200,SUMATERA UTARA,5. Pekerja Bebas di Pertanian,2022,Agustus,295867
1200,SUMATERA UTARA,5. Pekerja Bebas di Pertanian,2023,Februari ,255854
1200,SUMATERA UTARA,5. Pekerja Bebas di Pertanian,2023,Agustus,278743
1200,SUMATERA UTARA,6. Pekerja Bebas di Non Pertanian,2022,Februari ,315616
1200,SUMATERA UTARA,6. Pekerja Bebas di Non Pertanian,2022,Agustus,360062
1200,SUMATERA UTARA,6. Pekerja Bebas di Non Pertanian,2023,Februari ,336651
1200,SUMATERA UTARA,6. Pekerja Bebas di Non Pertanian,2023,Agustus,272936
1200,SUMATERA UTARA,7. Pekerja Keluarga Tak Dibayar,2022,Februari ,1253611
1200,SUMATERA UTARA,7. Pekerja Keluarga Tak Dibayar,2022,Agustus,1119422
1200,SUMATERA UTARA,7. Pekerja Keluarga Tak Dibayar,2023,Februari ,1199017
1200,SUMATERA UTARA,7. Pekerja Keluarga Tak Dibayar,2023,Agustus,1152216
1200,SUMATERA UTARA,Total,2022,Februari ,7314577
1200,SUMATERA UTARA,Total,2022,Agustus,7197374
1200,SUMATERA UTARA,Total,2023,Februari ,7461156
1200,SUMATERA UTARA,Total,2023,Agustus,7549537
1300,SUMATERA BARAT,1. Berusaha Sendiri,2022,Februari ,565370
1300,SUMATERA BARAT,1. Berusaha Sendiri,2022,Agustus,653862
1300,SUMATERA BARAT,1. Berusaha Sendiri,2023,Februari ,595814
1300,SUMATERA BARAT,1. Berusaha Sendiri,2023,Agustus,694094
1300,SUMATERA BARAT,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Februari ,483555
1300,SUMATERA BARAT,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2022,Agustus,433372
1300,SUMATERA BARAT,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Februari ,488249
1300,SUMATERA BARAT,2. Berusaha Dibantu Buruh Tidak Tetap/Pekerja Keluarga/Tidak dibayar,2023,Agustus,469208
