province_code,province,area_type,year,period,value
1100,ACEH,Tidak ada,2022,Januari,0.0
1100,ACEH,Tidak ada,2022,Februari,0.0
1100,ACEH,Tidak ada,2022,Maret,0.0
1100,ACEH,Tidak ada,2022,April,0.0
1100,ACEH,Tidak ada,2022,Mei,0.0
1100,ACEH,Tidak ada,2022,Juni,0.0
1100,ACEH,Tidak ada,2022,Juli,0.0
1100,ACEH,Tidak ada,2022,Agustus,0.0
1100,ACEH,Tidak ada,2022,September,0.0
1100,ACEH,Tidak ada,2022,Oktober,0.0
1100,ACEH,Tidak ada,2022,November,0.0
1100,ACEH,Tidak ada,2022,Desember,0.0
1100,ACEH,Tidak ada,2022,Tahunan,0.0
1100,ACEH,Tidak ada,2023,Januari,0.0
1100,ACEH,Tidak ada,2023,Februari,0.0
1100,ACEH,Tidak ada,2023,Maret,9733.1
1100,ACEH,Tidak ada,2023,April,0.0
1100,ACEH,Tidak ada,2023,Mei,0.0
1100,ACEH,Tidak ada,2023,Juni,7815.2
1100,ACEH,Tidak ada,2023,Juli,0.0
1100,ACEH,Tidak ada,2023,Agustus,6944.7
1100,ACEH,Tidak ada,2023,September,0.0
1100,ACEH,Tidak ada,2023,Oktober,7358.4
1100,ACEH,Tidak ada,2023,November,0.0
1100,ACEH,Tidak ada,2023,Desember,10542.0
1100,ACEH,Tidak ada,2023,Tahunan,42393.3
1200,SUMATERA UTARA,Tidak ada,2022,Januari,131.3
1200,SUMATERA UTARA,Tidak ada,2022,Februari,41.5
1200,SUMATERA UTARA,Tidak ada,2022,Maret,82.1
1200,SUMATERA UTARA,Tidak ada,2022,April,72.5
1200,SUMATERA UTARA,Tidak ada,2022,Mei,29.9
1200,SUMATERA UTARA,Tidak ada,2022,Juni,127.6
1200,SUMATERA UTARA,Tidak ada,2022,Juli,67.6
1200,SUMATERA UTARA,Tidak ada,2022,Agustus,194.1
1200,SUMATERA UTARA,Tidak ada,2022,September,33.1
1200,SUMATERA UTARA,Tidak ada,2022,Oktober,145.3
1200,SUMATERA UTARA,Tidak ada,2022,November,137.5
1200,SUMATERA UTARA,Tidak ada,2022,Desember,36.7
1200,SUMATERA UTARA,Tidak ada,2022,Tahunan,1099.2
1200,SUMATERA UTARA,Tidak ada,2023,Januari,118.7
1200,SUMATERA UTARA,Tidak ada,2023,Februari,107.7
1200,SUMATERA UTARA,Tidak ada,2023,Maret,162.4
1200,SUMATERA UTARA,Tidak ada,2023,April,154.8
1200,SUMATERA UTARA,Tidak ada,2023,Mei,42.5
1200,SUMATERA UTARA,Tidak ada,2023,Juni,14218.5
1200,SUMATERA UTARA,Tidak ada,2023,Juli,59.7
1200,SUMATERA UTARA,Tidak ada,2023,Agustus,140.4
1200,SUMATERA UTARA,Tidak ada,2023,September,33.3
1200,SUMATERA UTARA,Tidak ada,2023,Oktober,101.8
1200,SUMATERA UTARA,Tidak ada,2023,November,104.7
1200,SUMATERA UTARA,Tidak ada,2023,Desember,79.0
1200,SUMATERA UTARA,Tidak ada,2023,Tahunan,15323.6
1300,SUMATERA BARAT,Tidak ada,2022,Januari,0.0
1300,SUMATERA BARAT,Tidak ada,2022,Februari,0.0
1300,SUMATERA BARAT,Tidak ada,2022,Maret,0.0
1300,SUMATERA BARAT,Tidak ada,2022,April,0.0
1300,SUMATERA BARAT,Tidak ada,2022,Mei,0.0
1300,SUMATERA BARAT,Tidak ada,2022,Juni,0.0
1300,SUMATERA BARAT,Tidak ada,2022,Juli,0.0
