province_code,province,area_type,year,period,value
1100,ACEH,Tidak ada,2022,Januari,31679.3
1100,ACEH,Tidak ada,2022,Februari,56170.9
1100,ACEH,Tidak ada,2022,Maret,76239.9
1100,ACEH,Tidak ada,2022,April,83944.1
1100,ACEH,Tidak ada,2022,Mei,45043.7
1100,ACEH,Tidak ada,2022,Juni,56232.3
1100,ACEH,Tidak ada,2022,Juli,56610.0
1100,ACEH,Tidak ada,2022,Agustus,61303.2
1100,ACEH,Tidak ada,2022,September,66191.9
1100,ACEH,Tidak ada,2022,Oktober,69670.7
1100,ACEH,Tidak ada,2022,November,57585.9
1100,ACEH,Tidak ada,2022,Desember,85130.0
1100,ACEH,Tidak ada,2022,Tahunan,745801.8
1100,ACEH,Tidak ada,2023,Januari,69765.6
1100,ACEH,Tidak ada,2023,Februari,66821.6
1100,ACEH,Tidak ada,2023,Maret,62304.3
1100,ACEH,Tidak ada,2023,April,55404.3
1100,ACEH,Tidak ada,2023,Mei,51108.7
1100,ACEH,Tidak ada,2023,Juni,55347.2
1100,ACEH,Tidak ada,2023,Juli,44714.8
1100,ACEH,Tidak ada,2023,Agustus,40295.0
1100,ACEH,Tidak ada,2023,September,31777.5
1100,ACEH,Tidak ada,2023,Oktober,33518.6
1100,ACEH,Tidak ada,2023,November,32350.2
1100,ACEH,Tidak ada,2023,Desember,36139.1
1100,ACEH,Tidak ada,2023,Tahunan,554714.1
1200,SUMATERA UTARA,Tidak ada,2022,Januari,930635.0
1200,SUMATERA UTARA,Tidak ada,2022,Februari,835093.7
1200,SUMATERA UTARA,Tidak ada,2022,Maret,1115920.6
1200,SUMATERA UTARA,Tidak ada,2022,April,1253732.5
1200,SUMATERA UTARA,Tidak ada,2022,Mei,748272.8
1200,SUMATERA UTARA,Tidak ada,2022,Juni,1242296.7
1200,SUMATERA UTARA,Tidak ada,2022,Juli,1225734.9
1200,SUMATERA UTARA,Tidak ada,2022,Agustus,1338959.9
1200,SUMATERA UTARA,Tidak ada,2022,September,1132822.4
1200,SUMATERA UTARA,Tidak ada,2022,Oktober,1054180.3
1200,SUMATERA UTARA,Tidak ada,2022,November,1011967.8
