province_code,province,area_type,year,period,value
1100,ACEH,Perkotaan,2005,Tahunan,0.332
1100,ACEH,Perdesaan,2005,Tahunan,0.239
1100,ACEH,Perkotaan+Perdesaan,2005,Tahunan,0.288
1200,SUMATERA UTARA,Perkotaan,2005,Tahunan,0.298
1200,SUMATERA UTARA,Perdesaan,2005,Tahunan,0.269
1200,SUMATERA UTARA,Perkotaan+Perdesaan,2005,Tahunan,0.304
1300,SUMATERA BARAT,Perkotaan,2005,Tahunan,0.384
1300,SUMATERA BARAT,Perdesaan,2005,Tahunan,0.256
1300,SUMATERA BARAT,Perkotaan+Perdesaan,2005,Tahunan,0.387
1400,RIAU,Perkotaan,2005,Tahunan,0.314
1400,RIAU,Perdesaan,2005,Tahunan,0.213
1400,RIAU,Perkotaan+Perdesaan,2005,Tahunan,0.293
1500,JAMBI,Perkotaan,2005,Tahunan,0.243
1500,JAMBI,Perdesaan,2005,Tahunan,0.332
1500,JAMBI,Perkotaan+Perdesaan,2005,Tahunan,0.304
1600,SUMATERA SELATAN,Perkotaan,2005,Tahunan,0.283
1600,SUMATERA SELATAN,Perdesaan,2005,Tahunan,0.229
1600,SUMATERA SELATAN,Perkotaan+Perdesaan,2005,Tahunan,0.281
1700,BENGKULU,Perkotaan,2005,Tahunan,0.236
1700,BENGKULU,Perdesaan,2005,Tahunan,0.301
1700,BENGKULU,Perkotaan+Perdesaan,2005,Tahunan,0.286
1800,LAMPUNG,Perkotaan,2005,Tahunan,0.277
1800,LAMPUNG,Perdesaan,2005,Tahunan,0.315
1800,LAMPUNG,Perkotaan+Perdesaan,2005,Tahunan,0.31
1900,KEP. BANGKA BELITUNG,Perkotaan,2005,Tahunan,0.244
1900,KEP. BANGKA BELITUNG,Perdesaan,2005,Tahunan,0.221
1900,KEP. BANGKA BELITUNG,Perkotaan+Perdesaan,2005,Tahunan,0.236
2100,KEP. RIAU,Perkotaan,2005,Tahunan,0.397
2100,KEP. RIAU,Perdesaan,2005,Tahunan,0.208
2100,KEP. RIAU,Perkotaan+Perdesaan,2005,Tahunan,0.399
3100,DKI JAKARTA,Perkotaan,2005,Tahunan,0.337
