province_code,province,area_type,year,period,value
1100,PROV ACEH,Tidak ada,2024,Januari,0.42
1100,PROV ACEH,Tidak ada,2024,Februari,0.71
1100,PROV ACEH,Tidak ada,2024,Maret,0.48
1100,PROV ACEH,Tidak ada,2024,April,0.05
1100,PROV ACEH,Tidak ada,2024,Mei,0.15
1100,PROV ACEH,Tidak ada,2024,Juni,0.03
1100,PROV ACEH,Tidak ada,2024,Juli,-0.11
1100,PROV ACEH,Tidak ada,2024,Agustus,0.1
1100,PROV ACEH,Tidak ada,2024,September,-0.52
1100,PROV ACEH,Tidak ada,2024,Oktober,-0.08
1100,PROV ACEH,Tidak ada,2024,November,0.37
1100,PROV ACEH,Tidak ada,2024,Desember,0.57
1200,PROV SUMATERA UTARA,Tidak ada,2024,Januari,0.4
1200,PROV SUMATERA UTARA,Tidak ada,2024,Februari,0.41
1200,PROV SUMATERA UTARA,Tidak ada,2024,Maret,0.72
1200,PROV SUMATERA UTARA,Tidak ada,2024,April,-0.04
1200,PROV SUMATERA UTARA,Tidak ada,2024,Mei,0.48
1200,PROV SUMATERA UTARA,Tidak ada,2024,Juni,-0.33
1200,PROV SUMATERA UTARA,Tidak ada,2024,Juli,-0.82
1200,PROV SUMATERA UTARA,Tidak ada,2024,Agustus,-0.14
1200,PROV SUMATERA UTARA,Tidak ada,2024,September,-0.21
1200,PROV SUMATERA UTARA,Tidak ada,2024,Oktober,0.13
1200,PROV SUMATERA UTARA,Tidak ada,2024,November,0.54
1200,PROV SUMATERA UTARA,Tidak ada,2024,Desember,0.98
1300,PROV SUMATERA BARAT,Tidak ada,2024,Januari,-0.32
1300,PROV SUMATERA BARAT,Tidak ada,2024,Februari,1.17
1300,PROV SUMATERA BARAT,Tidak ada,2024,Maret,0.64
1300,PROV SUMATERA BARAT,Tidak ada,2024,April,-0.3
1300,PROV SUMATERA BARAT,Tidak ada,2024,Mei,0.51
1300,PROV SUMATERA BARAT,Tidak ada,2024,Juni,0.14
1300,PROV SUMATERA BARAT,Tidak ada,2024,Juli,-1.07
1300,PROV SUMATERA BARAT,Tidak ada,2024,Agustus,-0.16
1300,PROV SUMATERA BARAT,Tidak ada,2024,September,-0.44
1300,PROV SUMATERA BARAT,Tidak ada,2024,Oktober,0.11
1300,PROV SUMATERA BARAT,Tidak ada,2024,November,0.27
1300,PROV SUMATERA BARAT,Tidak ada,2024,Desember,0.35
1400,PROV RIAU,Tidak ada,2024,Januari,0.11
1400,PROV RIAU,Tidak ada,2024,Februari,0.59
1400,PROV RIAU,Tidak ada,2024,Maret,0.72
1400,PROV RIAU,Tidak ada,2024,April,0.05
1400,PROV RIAU,Tidak ada,2024,Mei,0.3
1400,PROV RIAU,Tidak ada,2024,Juni,-0.22
1400,PROV RIAU,Tidak ada,2024,Juli,-0.8
1400,PROV RIAU,Tidak ada,2024,Agustus,-0.27
1400,PROV RIAU,Tidak ada,2024,September,-0.33
1400,PROV RIAU,Tidak ada,2024,Oktober,0.06
1400,PROV RIAU,Tidak ada,2024,November,0.43
1400,PROV RIAU,Tidak ada,2024,Desember,0.62
1500,PROV JAMBI,Tidak ada,2024,Januari,0.83
1500,PROV JAMBI,Tidak ada,2024,Februari,0.13
1500,PROV JAMBI,Tidak ada,2024,Maret,0.54
1500,PROV JAMBI,Tidak ada,2024,April,0.18
1500,PROV JAMBI,Tidak ada,2024,Mei,0.19
1500,PROV JAMBI,Tidak ada,2024,Juni,-0.13
1500,PROV JAMBI,Tidak ada,2024,Juli,-0.82
1500,PROV JAMBI,Tidak ada,2024,Agustus,-0.01
1500,PROV JAMBI,Tidak ada,2024,September,-0.17
1500,PROV JAMBI,Tidak ada,2024,Oktober,0.03
1500,PROV JAMBI,Tidak ada,2024,November,0.21
1500,PROV JAMBI,Tidak ada,2024,Desember,0.46
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Januari,-0.08
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Februari,0.01
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Maret,0.25
1600,PROV SUMATERA SELATAN,Tidak ada,2024,April,0.43
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Mei,0.06
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Juni,-0.03
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Juli,-0.29
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Agustus,-0.19
1600,PROV SUMATERA SELATAN,Tidak ada,2024,September,-0.12
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Oktober,0.09
1600,PROV SUMATERA SELATAN,Tidak ada,2024,November,0.58
1600,PROV SUMATERA SELATAN,Tidak ada,2024,Desember,0.5
1700,PROV BENGKULU,Tidak ada,2024,Januari,0.15
1700,PROV BENGKULU,Tidak ada,2024,Februari,0.79
1700,PROV BENGKULU,Tidak ada,2024,Maret,0.22
1700,PROV BENGKULU,Tidak ada,2024,April,0.13
1700,PROV BENGKULU,Tidak ada,2024,Mei,0.3
1700,PROV BENGKULU,Tidak ada,2024,Juni,-0.04
1700,PROV BENGKULU,Tidak ada,2024,Juli,-0.7
1700,PROV BENGKULU,Tidak ada,2024,Agustus,-0.18
1700,PROV BENGKULU,Tidak ada,2024,September,-0.28
1700,PROV BENGKULU,Tidak ada,2024,Oktober,-0.09
1700,PROV BENGKULU,Tidak ada,2024,November,0.2
1700,PROV BENGKULU,Tidak ada,2024,Desember,0.34
1800,PROV LAMPUNG,Tidak ada,2024,Januari,-0.19
1800,PROV LAMPUNG,Tidak ada,2024,Februari,0.39
1800,PROV LAMPUNG,Tidak ada,2024,Maret,0.36
1800,PROV LAMPUNG,Tidak ada,2024,April,-0.01
1800,PROV LAMPUNG,Tidak ada,2024,Mei,0.08
1800,PROV LAMPUNG,Tidak ada,2024,Juni,-0.11
1800,PROV LAMPUNG,Tidak ada,2024,Juli,-0.16
1800,PROV LAMPUNG,Tidak ada,2024,Agustus,0.07
1800,PROV LAMPUNG,Tidak ada,2024,September,0.05
1800,PROV LAMPUNG,Tidak ada,2024,Oktober,0.2
1800,PROV LAMPUNG,Tidak ada,2024,November,0.42
1800,PROV LAMPUNG,Tidak ada,2024,Desember,0.47
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Januari,0.13
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Februari,0.39
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Maret,0.04
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,April,0.54
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Mei,-0.32
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Juni,-0.31
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Juli,-0.39
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Agustus,0.23
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,September,-0.02
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Oktober,-0.18
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,November,0.01
1900,PROV KEPULAUAN BANGKA BELITUNG,Tidak ada,2024,Desember,0.65
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Januari,0.51
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Februari,-0.22
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Maret,0.46
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,April,0.06
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Mei,0.37
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Juni,0.28
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Juli,-0.45
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Agustus,-0.04
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,September,0.14
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Oktober,0.06
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,November,0.24
2100,PROV KEPULAUAN RIAU,Tidak ada,2024,Desember,0.68
3100,PROV DKI JAKARTA,Tidak ada,2024,Januari,-0.19
3100,PROV DKI JAKARTA,Tidak ada,2024,Februari,0.45
3100,PROV DKI JAKARTA,Tidak ada,2024,Maret,0.37
3100,PROV DKI JAKARTA,Tidak ada,2024,April,0.26
3100,PROV DKI JAKARTA,Tidak ada,2024,Mei,-0.1
3100,PROV DKI JAKARTA,Tidak ada,2024,Juni,0.12
3100,PROV DKI JAKARTA,Tidak ada,2024,Juli,-0.06
3100,PROV DKI JAKARTA,Tidak ada,2024,Agustus,0.04
3100,PROV DKI JAKARTA,Tidak ada,2024,September,-0.1
3100,PROV DKI JAKARTA,Tidak ada,2024,Oktober,0.03
3100,PROV DKI JAKARTA,Tidak ada,2024,November,0.29
3100,PROV DKI JAKARTA,Tidak ada,2024,Desember,0.37
3200,PROV JAWA BARAT,Tidak ada,2024,Januari,0.15
3200,PROV JAWA BARAT,Tidak ada,2024,Februari,0.45
3200,PROV JAWA BARAT,Tidak ada,2024,Maret,0.51
3200,PROV JAWA BARAT,Tidak ada,2024,April,0.15
3200,PROV JAWA BARAT,Tidak ada,2024,Mei,-0.12
3200,PROV JAWA BARAT,Tidak ada,2024,Juni,-0.04
3200,PROV JAWA BARAT,Tidak ada,2024,Juli,0.06
3200,PROV JAWA BARAT,Tidak ada,2024,Agustus,0.07
3200,PROV JAWA BARAT,Tidak ada,2024,September,-0.21
3200,PROV JAWA BARAT,Tidak ada,2024,Oktober,0.02
3200,PROV JAWA BARAT,Tidak ada,2024,November,0.24
3200,PROV JAWA BARAT,Tidak ada,2024,Desember,0.35
