province_code,province,area_type,year,period,value
1100,ACEH,Tidak ada,2024,Januari,0.42
1100,ACEH,Tidak ada,2024,Februari,1.13
1100,ACEH,Tidak ada,2024,Maret,1.62
1100,ACEH,Tidak ada,2024,April,1.67
1100,ACEH,Tidak ada,2024,Mei,1.82
1100,ACEH,Tidak ada,2024,Juni,1.85
1100,ACEH,Tidak ada,2024,Juli,1.73
1100,ACEH,Tidak ada,2024,Agustus,1.84
1100,ACEH,Tidak ada,2024,September,1.31
1100,ACEH,Tidak ada,2024,Oktober,1.22
1100,ACEH,Tidak ada,2024,November,1.59
1100,ACEH,Tidak ada,2024,Desember,2.17
1200,SUMATERA UTARA,Tidak ada,2024,Januari,0.4
1200,SUMATERA UTARA,Tidak ada,2024,Februari,0.81
1200,SUMATERA UTARA,Tidak ada,2024,Maret,1.53
1200,SUMATERA UTARA,Tidak ada,2024,April,1.49
1200,SUMATERA UTARA,Tidak ada,2024,Mei,1.98
1200,SUMATERA UTARA,Tidak ada,2024,Juni,1.65
1200,SUMATERA UTARA,Tidak ada,2024,Juli,0.81
1200,SUMATERA UTARA,Tidak ada,2024,Agustus,0.67
1200,SUMATERA UTARA,Tidak ada,2024,September,0.46
1200,SUMATERA UTARA,Tidak ada,2024,Oktober,0.59
1200,SUMATERA UTARA,Tidak ada,2024,November,1.13
1200,SUMATERA UTARA,Tidak ada,2024,Desember,2.12
1300,SUMATERA BARAT,Tidak ada,2024,Januari,-0.32
1300,SUMATERA BARAT,Tidak ada,2024,Februari,0.85
1300,SUMATERA BARAT,Tidak ada,2024,Maret,1.49
1300,SUMATERA BARAT,Tidak ada,2024,April,1.19
1300,SUMATERA BARAT,Tidak ada,2024,Mei,1.71
1300,SUMATERA BARAT,Tidak ada,2024,Juni,1.85
1300,SUMATERA BARAT,Tidak ada,2024,Juli,0.76
1300,SUMATERA BARAT,Tidak ada,2024,Agustus,0.59
1300,SUMATERA BARAT,Tidak ada,2024,September,0.15
1300,SUMATERA BARAT,Tidak ada,2024,Oktober,0.26
1300,SUMATERA BARAT,Tidak ada,2024,November,0.54
1300,SUMATERA BARAT,Tidak ada,2024,Desember,0.89
1400,RIAU,Tidak ada,2024,Januari,0.11
1400,RIAU,Tidak ada,2024,Februari,0.7
1400,RIAU,Tidak ada,2024,Maret,1.43
1400,RIAU,Tidak ada,2024,April,1.48
1400,RIAU,Tidak ada,2024,Mei,1.78
1400,RIAU,Tidak ada,2024,Juni,1.55
1400,RIAU,Tidak ada,2024,Juli,0.74
1400,RIAU,Tidak ada,2024,Agustus,0.46
1400,RIAU,Tidak ada,2024,September,0.13
1400,RIAU,Tidak ada,2024,Oktober,0.19
1400,RIAU,Tidak ada,2024,November,0.62
1400,RIAU,Tidak ada,2024,Desember,1.25
