province_code,province,area_type,year,period,value
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan I,14766.77
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan II,15314.66
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan III,14800.42
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan IV,17416.69
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2022,Tahunan,62298.54
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan I,16198.41
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan II,16984.18
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan III,16881.45
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan IV,19692.82
11,Aceh,"A Pertanian, Kehutanan dan Perikanan",2023,Tahunan,69756.85
11,Aceh,B Pertambangan dan Penggalian,2022,Triwulan I,4404.27
11,Aceh,B Pertambangan dan Penggalian,2022,Triwulan II,4993.16
11,Aceh,B Pertambangan dan Penggalian,2022,Triwulan III,5045.85
11,Aceh,B Pertambangan dan Penggalian,2022,Triwulan IV,4680.44
11,Aceh,B Pertambangan dan Penggalian,2022,Tahunan,19123.72
11,Aceh,B Pertambangan dan Penggalian,2023,Triwulan I,4088.84
11,Aceh,B Pertambangan dan Penggalian,2023,Triwulan II,4073.74
11,Aceh,B Pertambangan dan Penggalian,2023,Triwulan III,4613.78
11,Aceh,B Pertambangan dan Penggalian,2023,Triwulan IV,4173.74
11,Aceh,B Pertambangan dan Penggalian,2023,Tahunan,16950.1
11,Aceh,C Industri Pengolahan,2022,Triwulan I,2289.34
11,Aceh,C Industri Pengolahan,2022,Triwulan II,2784.44
11,Aceh,C Industri Pengolahan,2022,Triwulan III,2858.36
11,Aceh,C Industri Pengolahan,2022,Triwulan IV,2942.75
11,Aceh,C Industri Pengolahan,2022,Tahunan,10874.89
11,Aceh,C Industri Pengolahan,2023,Triwulan I,2514.81
11,Aceh,C Industri Pengolahan,2023,Triwulan II,2724.86
11,Aceh,C Industri Pengolahan,2023,Triwulan III,2799.89
11,Aceh,C Industri Pengolahan,2023,Triwulan IV,2942.31
11,Aceh,C Industri Pengolahan,2023,Tahunan,10981.87
11,Aceh,D Pengadaan Listrik dan Gas,2022,Triwulan I,56.13
11,Aceh,D Pengadaan Listrik dan Gas,2022,Triwulan II,59.72
11,Aceh,D Pengadaan Listrik dan Gas,2022,Triwulan III,61.41
11,Aceh,D Pengadaan Listrik dan Gas,2022,Triwulan IV,60.94
11,Aceh,D Pengadaan Listrik dan Gas,2022,Tahunan,238.19
11,Aceh,D Pengadaan Listrik dan Gas,2023,Triwulan I,60.76
11,Aceh,D Pengadaan Listrik dan Gas,2023,Triwulan II,66.99
11,Aceh,D Pengadaan Listrik dan Gas,2023,Triwulan III,66.96
11,Aceh,D Pengadaan Listrik dan Gas,2023,Triwulan IV,66.33
11,Aceh,D Pengadaan Listrik dan Gas,2023,Tahunan,261.04
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan I,22.13
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan II,22.78
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan III,23.94
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan IV,25.38
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Tahunan,94.23
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan I,23.69
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan II,24.13
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan III,25.56
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan IV,26.31
11,Aceh,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Tahunan,99.69
11,Aceh,F Konstruksi,2022,Triwulan I,4160.11
11,Aceh,F Konstruksi,2022,Triwulan II,4123.27
