province_code,province,area_type,year,period,value
1100,ACEH,Perkotaan,2007,Tahunan,3.86
1100,ACEH,Perkotaan,2008,Tahunan,3.55
1100,ACEH,Perdesaan,2007,Tahunan,6.04
1100,ACEH,Perdesaan,2008,Tahunan,5.47
1100,ACEH,Perkotaan+Perdesaan,2007,Tahunan,5.41
1100,ACEH,Perkotaan+Perdesaan,2008,Tahunan,4.92
1200,SUMATERA UTARA,Perkotaan,2007,Tahunan,2.34
1200,SUMATERA UTARA,Perkotaan,2008,Tahunan,2.08
1200,SUMATERA UTARA,Perdesaan,2007,Tahunan,2.01
1200,SUMATERA UTARA,Perdesaan,2008,Tahunan,2.25
1200,SUMATERA UTARA,Perkotaan+Perdesaan,2007,Tahunan,2.17
1200,SUMATERA UTARA,Perkotaan+Perdesaan,2008,Tahunan,2.17
1300,SUMATERA BARAT,Perkotaan,2007,Tahunan,1.35
1300,SUMATERA BARAT,Perkotaan,2008,Tahunan,1.46
1300,SUMATERA BARAT,Perdesaan,2007,Tahunan,2.1
1300,SUMATERA BARAT,Perdesaan,2008,Tahunan,1.68
1300,SUMATERA BARAT,Perkotaan+Perdesaan,2007,Tahunan,1.84
1300,SUMATERA BARAT,Perkotaan+Perdesaan,2008,Tahunan,1.6
1400,RIAU,Perkotaan,2007,Tahunan,2.02
1400,RIAU,Perkotaan,2008,Tahunan,1.42
1400,RIAU,Perdesaan,2007,Tahunan,2.35
1400,RIAU,Perdesaan,2008,Tahunan,1.84
1400,RIAU,Perkotaan+Perdesaan,2007,Tahunan,2.18
1400,RIAU,Perkotaan+Perdesaan,2008,Tahunan,1.63
1500,JAMBI,Perkotaan,2007,Tahunan,3.08
1500,JAMBI,Perkotaan,2008,Tahunan,2.74
1500,JAMBI,Perdesaan,2007,Tahunan,1.31
1500,JAMBI,Perdesaan,2008,Tahunan,0.99
1500,JAMBI,Perkotaan+Perdesaan,2007,Tahunan,1.88
1500,JAMBI,Perkotaan+Perdesaan,2008,Tahunan,1.56
1600,SUMATERA SELATAN,Perkotaan,2007,Tahunan,4.92
1600,SUMATERA SELATAN,Perkotaan,2008,Tahunan,3.82
1600,SUMATERA SELATAN,Perdesaan,2007,Tahunan,3.16
1600,SUMATERA SELATAN,Perdesaan,2008,Tahunan,2.73
1600,SUMATERA SELATAN,Perkotaan+Perdesaan,2007,Tahunan,3.84
1600,SUMATERA SELATAN,Perkotaan+Perdesaan,2008,Tahunan,3.15
1700,BENGKULU,Perkotaan,2007,Tahunan,4.45
1700,BENGKULU,Perkotaan,2008,Tahunan,4.3
1700,BENGKULU,Perdesaan,2007,Tahunan,3.81
1700,BENGKULU,Perdesaan,2008,Tahunan,3.43
1700,BENGKULU,Perkotaan+Perdesaan,2007,Tahunan,4.03
1700,BENGKULU,Perkotaan+Perdesaan,2008,Tahunan,3.74
1800,LAMPUNG,Perkotaan,2007,Tahunan,3.23
1800,LAMPUNG,Perkotaan,2008,Tahunan,3.79
1800,LAMPUNG,Perdesaan,2007,Tahunan,4.2
1800,LAMPUNG,Perdesaan,2008,Tahunan,3.84
1800,LAMPUNG,Perkotaan+Perdesaan,2007,Tahunan,3.94
1800,LAMPUNG,Perkotaan+Perdesaan,2008,Tahunan,3.83
1900,KEP. BANGKA BELITUNG,Perkotaan,2007,Tahunan,1.25
1900,KEP. BANGKA BELITUNG,Perkotaan,2008,Tahunan,1.15
1900,KEP. BANGKA BELITUNG,Perdesaan,2007,Tahunan,2.08
1900,KEP. BANGKA BELITUNG,Perdesaan,2008,Tahunan,1.4
1900,KEP. BANGKA BELITUNG,Perkotaan+Perdesaan,2007,Tahunan,1.68
1900,KEP. BANGKA BELITUNG,Perkotaan+Perdesaan,2008,Tahunan,1.28
2100,KEP. RIAU,Perkotaan,2007,Tahunan,2.33
2100,KEP. RIAU,Perkotaan,2008,Tahunan,1.88
2100,KEP. RIAU,Perdesaan,2007,Tahunan,1.42
2100,KEP. RIAU,Perdesaan,2008,Tahunan,2.29
2100,KEP. RIAU,Perkotaan+Perdesaan,2007,Tahunan,1.9
2100,KEP. RIAU,Perkotaan+Perdesaan,2008,Tahunan,2.07
3100,DKI JAKARTA,Perkotaan,2007,Tahunan,0.59
3100,DKI JAKARTA,Perkotaan,2008,Tahunan,0.72
3100,DKI JAKARTA,Perkotaan+Perdesaan,2007,Tahunan,0.59
3100,DKI JAKARTA,Perkotaan+Perdesaan,2008,Tahunan,0.72
3200,JAWA BARAT,Perkotaan,2007,Tahunan,1.93
3200,JAWA BARAT,Perkotaan,2008,Tahunan,1.78
3200,JAWA BARAT,Perdesaan,2007,Tahunan,2.74
3200,JAWA BARAT,Perdesaan,2008,Tahunan,2.72
3200,JAWA BARAT,Perkotaan+Perdesaan,2007,Tahunan,2.26
3200,JAWA BARAT,Perkotaan+Perdesaan,2008,Tahunan,2.17
3300,JAWA TENGAH,Perkotaan,2007,Tahunan,3.33
3300,JAWA TENGAH,Perkotaan,2008,Tahunan,2.97
3300,JAWA TENGAH,Perdesaan,2007,Tahunan,4.32
3300,JAWA TENGAH,Perdesaan,2008,Tahunan,3.78
3300,JAWA TENGAH,Perkotaan+Perdesaan,2007,Tahunan,3.84
