province_code,province,area_type,year,period,value
1100,ACEH,Perkotaan,2007,Tahunan,1.23
1100,ACEH,Perkotaan,2008,Tahunan,1.07
1100,ACEH,Perdesaan,2007,Tahunan,1.81
1100,ACEH,Perdesaan,2008,Tahunan,1.67
1100,ACEH,Perkotaan+Perdesaan,2007,Tahunan,1.64
1100,ACEH,Perkotaan+Perdesaan,2008,Tahunan,1.5
1200,SUMATERA UTARA,Perkotaan,2007,Tahunan,0.61
1200,SUMATERA UTARA,Perkotaan,2008,Tahunan,0.5
1200,SUMATERA UTARA,Perdesaan,2007,Tahunan,0.51
1200,SUMATERA UTARA,Perdesaan,2008,Tahunan,0.64
1200,SUMATERA UTARA,Perkotaan+Perdesaan,2007,Tahunan,0.55
1200,SUMATERA UTARA,Perkotaan+Perdesaan,2008,Tahunan,0.58
1300,SUMATERA BARAT,Perkotaan,2007,Tahunan,0.3
1300,SUMATERA BARAT,Perkotaan,2008,Tahunan,0.32
1300,SUMATERA BARAT,Perdesaan,2007,Tahunan,0.52
1300,SUMATERA BARAT,Perdesaan,2008,Tahunan,0.43
1300,SUMATERA BARAT,Perkotaan+Perdesaan,2007,Tahunan,0.44
1300,SUMATERA BARAT,Perkotaan+Perdesaan,2008,Tahunan,0.39
1400,RIAU,Perkotaan,2007,Tahunan,0.68
1400,RIAU,Perkotaan,2008,Tahunan,0.36
1400,RIAU,Perdesaan,2007,Tahunan,0.67
1400,RIAU,Perdesaan,2008,Tahunan,0.44
1400,RIAU,Perkotaan+Perdesaan,2007,Tahunan,0.68
1400,RIAU,Perkotaan+Perdesaan,2008,Tahunan,0.4
1500,JAMBI,Perkotaan,2007,Tahunan,0.98
1500,JAMBI,Perkotaan,2008,Tahunan,0.85
1500,JAMBI,Perdesaan,2007,Tahunan,0.32
1500,JAMBI,Perdesaan,2008,Tahunan,0.2
1500,JAMBI,Perkotaan+Perdesaan,2007,Tahunan,0.54
1500,JAMBI,Perkotaan+Perdesaan,2008,Tahunan,0.41
1600,SUMATERA SELATAN,Perkotaan,2007,Tahunan,1.63
1600,SUMATERA SELATAN,Perkotaan,2008,Tahunan,1.2
1600,SUMATERA SELATAN,Perdesaan,2007,Tahunan,0.83
1600,SUMATERA SELATAN,Perdesaan,2008,Tahunan,0.64
1600,SUMATERA SELATAN,Perkotaan+Perdesaan,2007,Tahunan,1.14
